,BB,BS,Buy,CLAVE,COIN,Modelo,SB,SS,Sell,Exito
4,123,73,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,4,747,1047,11203,0.5879396984924623
5,247,57,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,4,623,1063,11203,0.6582914572864321
6,202,157,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,4,668,963,11203,0.585427135678392
7,438,473,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,4,431,647,11203,0.5455002513826043
8,366,240,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,4,503,880,11203,0.6264454499748617
9,725,721,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,4,144,399,11203,0.5651080945198592
0,1,2,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,869,1119,11203,0.562531391260673
1,119,1004,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,751,117,11203,0.1185334003013561
2,80,1095,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,790,26,11203,0.053239578101456554
3,233,814,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,637,306,11203,0.2708542713567839
4,220,704,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,650,416,11203,0.31959798994974875
5,160,671,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,710,449,11203,0.3060301507537688
6,131,789,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,739,331,11203,0.2321608040201005
7,291,686,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,578,434,11203,0.36450477626948213
8,451,618,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,418,502,11203,0.4791352438411262
9,822,1071,8697,11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,BTC_BLK,5,47,49,11203,0.43790849673202614
