,BB,BS,Buy,CLAVE,COIN,SB,SS,Sell
0,216,83,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,304,388,5199
1,190,52,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,330,418,5199
2,324,144,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,196,326,5199
3,331,102,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,189,368,5199
4,243,125,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,277,345,5199
5,435,190,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,85,280,5199
6,461,247,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,59,223,5199
7,490,306,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,30,164,5199
8,323,103,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,197,367,5199
9,481,230,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,38,240,5199
