,BB,BS,Buy,CLAVE,COIN,SB,SS,Sell
0,215,73,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,305,398,5199
1,219,69,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,301,401,5199
2,326,148,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,194,322,5199
3,344,110,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,176,360,5199
4,260,136,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,260,334,5199
5,435,195,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,85,275,5199
6,457,246,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,63,224,5199
7,489,302,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,31,168,5199
8,331,100,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,189,370,5199
9,484,236,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,35,234,5199
