,BB,BS,Buy,CLAVE,COIN,SB,SS,Sell
0,230,73,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,290,398,5199
1,176,91,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,344,379,5199
2,348,207,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,172,263,5199
3,318,122,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,202,348,5199
4,222,117,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,298,353,5199
5,393,247,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,127,223,5199
6,435,205,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,85,265,5199
7,472,307,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,48,163,5199
8,360,152,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,160,318,5199
9,480,246,4701,00011001110000110100111111100010110000010001001110110010111001010101000110001111111001001110100001011001001001000011110100100010100,BTC_BELA,39,224,5199
